name,Job Role,CTC,Stipend,Eligible Batch,Eligible Courses,Eligible Branches,Internship Duration,Location,Application Link
T$O-GENAI Hackathon,,,,"* 2026, 2027, 2028",* All,"* All | Team Size:* 2–4 members | Event Dates:* | Round 1: June 15, 2025 (Online) | Round 2: July 10–12, 2025 (Offline, IIT Bhubaneswar) | Prizes:* | ₹1.2 Lakh + PPI/PPO at Jazzee | All participants: ₹4,999 Gen AI course + project | Registration Link:* https://hackathon.jazzeetechnologies.com",,,"*  https://forms.gle/ruYR9ZQAardGcXDb8 | Deadline:* 11:59 PM, May 31, 2025 | Note:* | It is mandatory to fill both the forms. | Fee: ₹500 (team of 2), ₹400 (team of 3), ₹350 (team of 4) per person. | Register via “Jazzee Edtech” app (Play Store/App Store) and website."
HackVega,,,,,,,,,
Proggy-Buggy Towel Contest 2025,,,,,,,,,
Lokal,,,,,,,,,
Update,,,,,,,,,
Swiggy,,,,* 2026,"* BTech, Dual, MTech, Int. MSc","* All | Stipend Offered:* INR 40,000/Month | CTC on PPO Conversion:* Not Disclosed",,"* Remote/WFO | Skills Required:* Swift XCode, UI Kit, iOS and anything related.","* https://forms.gle/8fSAgXVW14e7Cakw7 | Deadline:* 24 May 2024, 11:59 *PM* IST | Only those with relevant experience/skills should apply for the opportunity | Resumes will be shortlisted directly for interviews, so upload your best version."
Jindal Steel & Power Ltd. (JSPL),,,,,,,,,
JoyzAI,,,* 25 KPM | CTC on PPO Conversion:* | 15 - 21 LPA (Full-Stack Developer) & | 7 - 14 LPA (Front-End Developer),* 2026,* B.Tech,* All | Start Date:* Immediate | Duration:* 2 Months,,* Noida,"* https://forms.gle/k3GjnWyWnc9aM51Y7 | Application Deadline:* 1:00 PM, 24th May 2025 | NOTE:*"
SalesDuo,,,,,,,,,
JoyzAI,,,,,,,,,
Tekion Campus India 2026,,,,,,,,,
Swiggy,,,,,,,,,
Swiggy,,,,* 2026,"* BTech, Dual, MTech, Int. MSc","* All | Stipend Offered:* INR 40,000/Month | CTC on PPO Conversion:* Not Disclosed",,* Remote or WFO,"* https://forms.gle/NMixC2iqbo1NakT76 | Deadline:* 11:59 *PM* IST(Today) | Mention your prior internship and project details in the form. | Only those with relevant experience/skills in *Data Science* field should apply for the opportunity. | Resumes will be shortlisted directly for interviews, so upload your best version."
TMRW House of Brands,,,,"* 2026, 2027",* All,"* All | TMRW House of Brands, backed by the Aditya Birla Group, is building India’s leading digital-first fashion and lifestyle house. | They want to learn how students perceive them and how they can engage better on-campus through the right conversations, programs, and platforms. | Below is a survey form *everyone's required to fill it up ASAP!* | Survey Form:* https://forms.gle/uLYBJTfS4eGu79G36 | Deadline:* 11:59 PM (Today) | Note:*",,,
SalesDuo,,,,,,,,,
People Tech,,,,,,,,,
Jindal Steel & Power Ltd. (JSPL),,,,,,,,,
CRED,,,,,,,,,
SalesDuo,,,,,,,,,
Code-a-thon,,,,,,,,,
Cisco,,,,,,,,,
Cisco,,,,,,,,,
Cisco,,,,,,,,,
Salesforce,,,,,,,,,
GE Healthcare,,,,"* 2025, 2026, 2027, 2028","* B.Tech, M.Tech, Dual","* All | Team Size:* 1-4 | Theme:* | Artificial Intelligence (chIid-Baby Care for Indian Parents) | Cybersecurity (Automated Fixes for Vulnerabilities) | Analytics and AI (Neurology & Oncology Clinical Trials) | Clinical Support (Alarm Fatigue)Cloud | AI (Agentive AI for Security Patches) | Rewards & Prizes:* | *1st Prize:* ₹1,50,000 | *2nd Prize:* ₹1,00,000 | *3rd Prize:* ₹75,000 | Deadline:* 11:59 PM, 18th June 2025 | Registration Link:* https://www.hackerearth.com/challenges/hackathon/precision-care-challenge-2025/",,,* https://forms.gle/7m7CyFcBpN4pkXHQ8 | Note:*
HackVega,,,,,,,,,
Adobe India Hackathon,,,,,,,,,
Juspay,,,,,,,,,
Flipkart,,,,,,,,,
Caterpillar,,,,* All,* All,* All | Rewards:* | 1. Prizes worth INR 3.5 lakhs | 2. Get Internship interviews | Venue:* IIT Madras | Registration Link:* https://unstop.com/competitions/caterpillar-autonomy-challenge-iit-madras-1495082,,,"https://forms.gle/D6gUySf5NeeeBDo38 | Deadline:* 14th Aug 2025, 11:59 PM IST | Note:* It is mandatory to fill both the forms"
HackWithInfy 2026,* Specialist Programmer,* INR 9.5 LPA,,* 2026,"* B.Tech, M.Tech, Dual degree, Int. MSc.","* All | Competition Offers:* | 1. Cash prizes worth *INR 550,000* to the winners | 2. ⁠Pre-placement interview for the job role of Specialist Programmer. | For more details about selection process and timelines, you can visit the following *website:* | https://tinyurl.com/3hm4rzm5 | Registration Link:* https://forms.gle/LyeaRFWpKpjighGE6 | Deadline:* 11:59 PM, 17th June 2025 *(Today)* | Note:*",,,
Media.net,,,,,,,,,
Media.net,,,,,,,,,
Samsung,,,,* All,* All,"* All | Eligibilty Criteria:* | Age Group 14-22 Years | Themes:* | 1. AI for Safer, Smarter & Inclusive Bharat | 2. Future of Health, Hygiene & Wellbeing in India | 3. Social Change through Sport & Tech: For Education & Better Futures | 4. Environmental Sustainability via Technology | Rewards:* | INR 1 Crore to Top 4 Winning Teams | INR 20 Lakhs to Top 20 Teams | INR 8 Lakhs to Top 40 Teams | Mentorship, Master class, Prototyping at IITD | Registration Link:* https://www.samsungindiamarketing.com/SolveForTomorrow/Default.aspx",,,"https://forms.gle/aRdo2qWBezntfAbn9 | Deadline:* 28th June 2025, 11:59 PM IST | Note:* | It is mandatory to fill both the forms | Visit the link for more details: https://www.samsung.com/in/solvefortomorrow/"
Shell.ai Hackathon,,,,* All,*  All,* All,,,"* https://www.hackerearth.com/challenges/new/competitive/shellai-hackathon-2025 | Registration form:* https://forms.gle/LMtFXNGTE8y4pV1M8 | Rewards & Prizes:* | > Winner - 1,500 USD | > Runner-up - 1,000 USD | For more info, Visit :* https://www.shell.com/hackathon | Deadline:* 11:59 PM, 31st June 2025"
C-DAC NOIDA,,* Not Disclosed,* 15 KPM,"* 2025, 2026",* BTech,* All | Eligibility:* SGPA >= 7(in last semester) or CGPA >= 7,,,"* https://forms.gle/yBzUamPgWUfogK938 | Deadline:* 11:59 PM, 20th June, 2025 | Note:* | ⁠⁠_Keep the short deadline in mind._ | ⁠_⁠Refer to JD & curate your CVs accordingly._"
OKTA India,,* 29 LPA + benefits,"* INR 1,00,000/Month + benefits",* 2026,* B.Tech,* All | Eligibility Criteria:* | CGPA >= 6.0 | No active Backlogs | Selection Process:* | 1. Resume Shortlist | 2. Online Test | 3. Personal Interview,,,"* https://forms.gle/M7GYb9FQ7vThP3GY7 | Deadline:* 20th June, 2025, 11:59 PM | Note:* | Refer to the JD for more information. | For students other than CS, EC, EE, EI only those with relevant skills should apply. | Keep in mind the short Deadline."
OKTA India,,,,,,,,,
OKTA,,,,,,,,,
C-DAC NOIDA,,,,,,,,,
Media.net,,,,,,,,,
OKTA,,,,,,,,,
Cisco,,,,,,,,,
IMPORTANT,,,,,,,,,
Final Warning,,,,,,,,,
Media.net,,,,,,,,,
HackWithInfy,,,,,,,,,
Cisco,,,,,,,,,
Axxelerate,,,,* 2026,* All,"* All | Team Size:* Individual | Duration:* July 14, 2025 – August 15, 2025 | Mode:* Online | Rewards & Prizes:* | 1st Prize – ₹1.5 Lakh | 2nd Prize – ₹1 Lakh | 3rd Prize – ₹75,000 | Weekly Winners – ₹50,000 | Top 50 performers will receive a Direct PPI opportunity with Axxela | Deadline:* 11:59 PM, 26th June 2025 | Registration Link:* https://axxelerate.axxela.in",,,* https://forms.gle/DU6kgArnEBi7krmDA | Note:*
ZS Campus Beats,,,,,,,,,
Placement Registration,,,,,,,,,
InnoVent Hackathon*,,,,,,,,,
Enabling Abilities,,,,,,,,,
Flipkart GRiD 7.0,,,,,,,,,
Cisco,,,,,,,,,
Flipkart GRiD 7.0,,,,,,,,,
DE Shaw & Co.,,,,,,,,,
DE Shaw,,,,,,,,,
Media.net,,,,,,,,,
Media.net,,,,,,,,,
Media.net,,,,,,,,,
Media.net,,,,,,,,,
Warning,,,,,,,,,
Important,,,,,,,,,
Juspay,,,"For SDE, PE, Product Design - 40KPM | For PSE - 30KPM | CTC in PPO conversion:* | 1. SDE - 27 LPA | 2. ⁠PE - 21 LPA | 3. ⁠Product Design - 19LPA | 4. ⁠PSE - 11LPA | Application Form :*- https://forms.gle/yFtu4ut5AsRarBmH7 | Deadline:*  11:59 AM, 11th July, 2025 | Note :* | 1. _Please keep the short deadline in mind._ | 2. _The Online Assessment will be common for all roles._ | 3. _Final role allocation will depend on your performance during the selection process._",* 2026,* B.Tech,* All,,,
ProcDNA Analytics India PVT LTD,,,,,,,,,
HackWithInfy,,,,,,,,,
ProcDNA,,,,,,,,,
Eternal Limited (Formerly Zomato Ltd),,,,,,,,,
ION Group,,* 17.3 LPA (15 Base),* 1.25 LPM,* 2026,"* B.Tech, Dual, Int M.Sc.","* All | Eligibility:* | 75% throughout 10th, 12th and graduation. | ⁠No active backlogs | Job Locations:* Noida, Hyderabad, Pune, and Mumbai",,,"* https://forms.gle/9EN9MEpXRjFvoHN36 | Deadline:* 6:00 pm, 12th July 2025 | Note:*"
Eternal Limited (Formerly Zomato Ltd),,,,,,,,,
Placement Registration,,,,,,,,,
Co-Create the Future,,,,* All,* All,"* All | Team size:* 3-4 members | Event Details:* | *Date:* To be decided | *Mode:* Online | *Themes:* AI, Sustainability, IIOT, Carbon Management (e.g., Smart Sentry, Asset Sim, Green Pulse) | Rewards & Prizes:* | Exciting prizes, certificates, and exclusive goodies | Deadline:* 11:59 PM, 19th July 2025 | Registration Link:* http://bit.ly/4lKjkyq",,,* https://forms.gle/5UYwsvfaK4BRYCQa6 | Note:* | It is mandatory to fill both the forms. | One team member to fill the form with all details. | Inter department teams are eligible.
ION Group,,,,,,* All | Date* : 15th July 2025 | Time* : 1:30 PM | Link :* https://teams.microsoft.com/l/meetup-join/19%3ameeting_YTQ4NTJiOWMtNzdhMS00MjU0LWI1NDAtMjAxMGVlY2FmYTM3%40thread.v2/0?context=%7B%22Tid%22%3A%22768fe7d4-ebee-41a7-9851-d5825ecdd396%22%2C%22Oid%22%3A%2228880fae-800a-4599-8653-b153d3ed20b6%22%2C%22IsBroadcastMeeting%22%3Atrue%2C%22role%22%3A%22a%22%7D&btype=a&role=a | Note:*,,,
ProcDNA Analytics India PVT LTD,,,,,,,,,
Eternal Limited (Formerly Zomato Ltd),,,,,,,,,
Eternal Limited (Formerly Zomato Ltd),,,,,,,,,
ProcDna,,,,,,,,,
ProcDNA,,,,,,,,,
ProcDNA,,,,,,,,,
Media.net,,,,,,,,,
ProcDNA Analytics India Pvt. Ltd.,,,,,,,,,
ION Group,,,,,,,,,
Big Idea Tech Design Competition 2025,,,,"* 2026, 2027",* B.Tech,"* All | Team Size:* 1-3 members | Rewards & Prizes:* | ₹1.5 Lakh for Winner | ₹75,000 for 1st Runner-Up | ₹50,000 for 2nd Runner-Up | ₹10,000 ×2 Special Jury Awards | Top performers will receive a Direct PPI opportunity with V-Guard | Deadline:* 11:59 PM, 25th July 2025 | Registration Link:* https://www.vguard.in/bigideatech/index",,,* https://forms.gle/QKZ31Fz3GnQ8xJbm9 | Note:*
Bajaj Auto Ltd.,,"* ₹11.74 LPA (B.Tech), ₹12.24 LPA (M.Tech)",,* 2026,"* B.Tech, Dual, M.Tech","* EE, ME, MM | Eligibilty:* | ≥70% or ≥6.5 CGPA throughout academic career | No active or passive backlogs | No diploma prior to UG | Max 1-year gap between 12th & UG, or UG & PG (if working post-UG) | Selection Process:* | PPT | Online Test | Resume Shortlisting | Personal Interview | Job Location:* Pune",,,"* https://forms.gle/sUd8YHq16mBaK1Yw6 | Deadline:* 11:59 PM, 17th July 2025 | Note:*"
PayPal,,,,,,,,,* https://forms.gle/uupmqArhJjeeBANq7 | Deadline:* 11:59 pm 20th July 2025 | Note:*
Eternal Limited (Formerly Zomato Ltd),,,,,,,,,
Media.net,,,,,,,,,
TVS Credit E.P.I.C 7.0,,,,"* 2026, 2027","* B. Tech, M. Tech, Dual",* All | Team Size:* 1-2,,,"* https://unstop.com/o/17Q4cAw?utm_medium=Share&utm_source=shortUrl | Registration Link:* https://forms.gle/qJ842emD61p3SNj9A (Each team member should fill this form) | Deadline:* 3rd Aug, 2025, 11.59 PM | Note:* It is mandatory to fill both the forms"
Bajaj Auto Limited,,,,,,,,,
Alstom,,,,,,,,,
ProcDNA Analytics India PVT LTD,,,,,,,,,
Flipkart,,,,,,,,,
Eternal Limited (Formerly Zomato Ltd),,,,,,,,,
Eternal Limited,,,,,,,,,
Eternal Ltd (Formerly Zomato Ltd),,,,,,,,,
MakeMyTrip,,* 22LPA,* 50KPM,* 2026 | Selection Procedure:* | Resume Shortlisting | Technical Assessment | HR Interview,* B.Tech,"* CS, Minor in CS",,,"* https://forms.gle/e2WJxrWTyDWHN9r67 | Application Deadline:* 11:00 AM, 23rd July 2025 | NOTE:*"
Eternal Ltd(Formerly Zomato Ltd),,,,,,,,,
Fractal Analytics,,,,,,,,,
HackWithInfy,,,,,,,,,
Bajaj Auto Limited,,,,,,,,,
Amazon ML Summer School,,,,,,,,,
L'Oréal,,,,"* 2026, 2027",* All,"* All | Team Size:* 3 members | Perks:* | All Finalists and Semi-Finalists stand a chance to receive pre-placement interviews (PPIs) | *Stipend:* MBA: ₹ 1.6LPM, Others: ₹ 80KPM | *CTC:* MBA: ₹ 28 LPA, Others: ND | Registration link:* https://rebrand.ly/loreal-sustainability-challenge-2025",,,"* https://forms.gle/pTXYAjpFAiUXfK4y5 | Deadline:* 10th August, 11:59 PM | Note:* | 1.⁠ ⁠It is mandatory to fill both the forms. | 2.⁠ ⁠Each team member must fill the form."
PhonePe,,* 16 LPA,* 40KPM,* 2026,"* B.Tech, M.Tech, Dual Degree, Int M.Sc",* All | Eligibility:* | 1. CGPA>= 6 | 2. No active backlogs.,,,"* https://forms.gle/ydcSNSrVDp58ceRE9 | Deadline:* 10:59 PM, 28th July 2025"
Flipkart,,,,,,,,,
Flipkart,,,,,,,,,
Flipkart,,,,,,,,,
Flipkart,,,,,,,,,
Flipkart,,,,,,,,,
Cisco,,,,,,,,,
Accenture,,,,,,,,,
Energy Quest 2.0,,,,"* 2026, 2027",* B.Tech,* All | Team Size:* 1 | Levels & Rounds:* | Online Assessment | Domain Assessment | Prizes:* | Winner: INR 31K + Gift Hamper + Direct Entry to interview/GD at the time of Campus Hiring Drive. | 1st Runner-Up: INR 21K + Gift Hamper + Direct Entry to interview/GD at the time of Campus Hiring Drive. | 2nd Runner-Up: INR 15K + Gift Hamper + Direct Entry to interview/GD at the time of Campus Hiring Drive. | Top Performers: Cash prize of Rs 5000 for each participant via Bank transfer. | The top 4 performers will be offered a PPO with HMEL based on their stream and year of passing.* | Registration Form:* | https://xathon.mettl.com/event/Energy-quest2025?utm_source=TPO,,,"* https://forms.gle/QKzoYcSjsVZavadq5 | Deadline:* 4th Aug 2025, 11:59 PM. | Note:* | 1. It is mandatory to fill out both forms."
InnoVent Hackathon,,,,,,,,,
Flipkart,,,,,,,,,
DE Shaw & Co,,,,,,,,,
Tredence,,,,,,,,,"* https://forms.office.com/r/QxciACvY5L | Registration Link :* https://forms.gle/rLYYQ8stWXYq6oXB6 | Venue:* TIIR Auditorium | Deadline to fill the both forms:* 2PM,1st August,2025 | Note:* | 1._It is mandatory for everyone to join this leadership talk as this is going to increase the chances of Tredence to recruit more number of candidates from our campus._ | 2._The candidates who are not applying for the leadership talk they are not eligible to sit for Tredence On-Campus opportunity._"
DE Shaw & Co,,,,,,,,,
Flipkart,,,,,,,,,
DE Shaw & Co,,,,,,,,,
Headout,,* 25 LPA (₹18L Fixed + ₹2L Variable + ₹5L in ESOPs.),* 70KPM,* 2026,* BTech,"1.Software Engineer, Backend - CS,EC,EI,EE | 2.Software Engineer, Frontend - CS,EC,EI,EE | 3.Machine Learning Engineer - ALL | 4.Data Engineer - CS,EC,EI,EE | Selection Process:* | 1.Resume Shortlisting | 2.Assignment | 3.Technical Interview | Registration Link :* https://forms.gle/kFGs5ogXXDE5boHr5 | Deadline:* 11:59PM, 2nd August, 2025 | Note:* | 1.Each student must apply for only one role. | 2.Resume shortlisting will be done based on the information provided by you in the form and your resume. | 3.Assignments must be original. Any form of plagiarism will lead to strict disciplinary action.",,,
Coupa Software,,* 16.5LPA (Fixed – 15 LPA; Performance Variable – 1.5 L) | Academic Requirements:* | No Active Backlogs,* To be disclosed,* 2026,* B.Tech,"* CS, EC, EE, EI, Minor in CS.",,"* Pune, Bangalore","* https://forms.gle/fnWAWB5FDdZ2YVJXA | Deadline:* *11:59 PM*, 1st August 2025"
Juspay,,,,,,,,,
DE Shaw,,,,,,,,,
OpenText,*  AI/ML/DS Developer,,* 40 KPM | CTC on Conversion:* 18-20 LPA,* 2026,"* B.Tech, Dual Degree, Int MSc","* All | Eligibility:* | 1. CGPA >= 7 | 2. ⁠70% and above in 10th and 12th | 3. ⁠No active backlog | Job Location:* Bengaluru/Hyderabad | Registration Form:* https://forms.gle/dKPno8L7X7jz8uad6 | Deadline:* 10:59AM 4th August, 2025 | Note:* | ⁠_Keep the short deadline in mind._",,,
Headout,,,,,,,,,
MakeMyTrip,,,,,,,,,
MakeMyTrip,,,,,,,,,
BlackRock,,,,,,,,,
Coupa Software,,,,,,,,,
Coupa Software,,,,,,,,,
ExxonMobil,,,,,,,,,
ExxonMobil,,,,,,,,,
OpenText,,,,,,,,,
OpenText,,,,,,,,,
Coupa Software,,,,* 2026,* B.Tech,* All | Instructions*: | 1. *Only students who attend the PPT will be considered for the further process.* | 2. Attendance will be taken and those who have applied should attend this session. | 3. Use your full name. | 4. Ensure a stable internet connection. | 5. Mute audio unless speaking.,,,
BlackRock,,,,,,,,,
Juspay,,,,,,,,,
ExxonMobil,,,,,,,,,
BlackRock,,,,,,,,,
Tredence,,1.[DE-10LPA(6.5L Fix + 1.5L Variable +2L(Performance Bonus))] | 2.[DS-12LPA(8L Fix + 2 Variable + 2(Performance Bonus))],,* 2026,* B.Tech | Eligibility Criteria:* | Cgpa >=7.00 | 10th and 12th >=70% | No active Backlogs,* All,,"*  Bangalore | Hiring Process:* | 1.Leadership Talk | 2.Online Test | 3.Communication Test | 4.Technical Interview | 5.HR Interview | Application Form :* https://forms.gle/PF6aX1hyLfp5jH8A9 | Deadline :* 11:59 PM, 7th August 2025 | Note :*",
Bain Capability Network (Bain & Company),* Intern Analyst,,* 45 KPM + Benefits | CTC on Conversion:* 15.68 LPA,* 2026,* B.Tech,* All | Eligibility:* | 1. CGPA >= 6 | 2. ⁠60% and above in 10th and 12th | 3. ⁠No active backlog | Job Location:* Bangalore/Gurgaon | Registration Link:* https://careers.bain.com/jobs/FolderDetail/NIT-Rourkela-UG-Intern-Role-Batch-of-2026/97976,,,"* https://forms.gle/oo964Z5aFH547P626 | Deadline:* *4 pm, 6th August 2025* | Note:* | ⁠_Deadline will not be extended and hence keep the short deadline in mind._ | ⁠_Refer to the job description below._"
Atomberg Technologies,,,,"* 2026, 2027, 2028","* BTech, MTech, Dual, PhD (in Engineering)","All | Team Size:* 3 to 5 members | Perks:* | All Finalists and Semi-Finalists stand a chance to receive pre-placement interviews (PPIs) | Cash prizes worth ₹2,00,000 | Registration link:* https://unstop.com/competitions/atomquest-2025-atomberg-technologies-pvt-ltd-1531272",,,"* https://forms.gle/rdc3VvLgUMNR9cNo6 | Deadline:* 10th August, 11:59 PM | Note: | 1.⁠ ⁠It is mandatory to fill both the forms. | 2.⁠ ⁠Each team member must fill the form."
BlackRock,,,,,,,,,
BCN,,,,,,,,,
BCN,,,,,,,,,
ExxonMobil,,,,,,,,,
Bain Capability Network,,,,,,,,,
BCN,,,,,,,,,
Tredence,,,,,,,,,
BCN,,,,,,,,,
BCN,,,,,,,,,
DP World,,,,* 2026,"* B.Tech., Dual, Int. Msc.",* All | CTC :* 27 LPA | Eligibility:* | CGPA>=7.5 | Selection Process :* | 1. Pre-Placement Talk | 2. Resume Shortlist | 3. Online Test | 4. 4 rounds of Interviews,,,"* https://forms.gle/BRKXoyMJ9cCeoUuMA | Deadline:* 11:59 *PM*, 8th August 2025"
ExxonMobil,,,,,,,,"* LA 1 Computer labs | Bring your Laptop, Charger, Lan Cable and ID Card | Read all below mentioned documents before appearing the test",
Tredence,,,,,,,,,
ExxonMobil,,,,,,,,,
Bain Capability Network,,,,,,,,,
ExxonMobil,,,,,,,,,
Artech L.L.C.,,"* 4.68 LPA + monthly lucrative incentives | Benefits:* Health insurance, cab facilities, Meal & Snacks | Shift:* US Shift timings | Bond Period:* 1.5 year",,,"* B.Tech, M.Tech, MBA, Dual",* All,,* Noida,"https://forms.gle/SNxfJ1YLzPwSNTH5A | Deadline:* 11:59 PM, 8th August 2025 | Note:*"
Coupa Software,,,,,,,,,
BCN,,,,,,,,,
BlackRock,,,,,,,,,
Futures First,* Financial Market Intern,,* 40 KPM | CTC on Conversion:* 17.03 LPA,* 2026,"* B.Tech, Dual, Int. MSc.","* All | Job Location:* Bangalore, Kolkata | Registration Link:* https://shorturl.at/zgp5z",,,"* https://forms.gle/iUikMNPCVa2MJkEt7 | Deadline:* 11:59 pm, 12th August 2025 | Note:* | ⁠_Keep the short deadline in mind._"
ExxonMobil,,,,,,,,,
ExxonMobil,,,,,,,,,
BlackRock,,,,,,,,,
BlackRock,,,,,,,,,
Tredence,,,,,,,,,
Tredence,,,,,,,,,
Coupa Software Inc.,,,,,,,,,
Coupa Software Inc.,,,,,,,,,
Atomberg Technologies,,,,,,,,,
Training Committee (Expansion),,,,,,,,,
EatClub Brands (Formerly BOX8),,,,,,,,,
EatClub Brands (Formerly BOX8),,,,,,,,,
Pixel Compute,,,"* 20 KPM | CTC :* 19.74LPA | Eligibility:* | CGPA>=7 | Selection Process :* | 1. Online Test | 2. Interview | Date of Online Test:* 8th September, 2025",* 2026,"* B.Tech., M.Tech., Dual, Int. Msc.",* All,,,"* https://forms.gle/hdoo1utnQjtqfJ8n6 | Deadline:* 11:59 *PM*, 13th August 2025"
ExxonMobil,,,,,,,,,
Heleum,,,* 10KPM | CTC On Conversion:* 4.5 LPA,* 2026,* All,* All | Registration Link:* https://forms.gle/MzBSVh9ZgaEzCBLt6,,* Remote (WFH) | Timings:* Minimum 3.5 hrs per day,"* https://forms.gle/g75feRsd5dHbCpN26 | Deadline:* 11:59 PM, 15th August 2025 | Note:*"
rtCamp,,,,,,,,,
EatClub Brands (Formerly BOX8),,,,,,,,,
EatClub Brands (Formerly BOX8),,,,,,,,,
EatClub Brands,,,,,,,,,
EatClub Brands (Formerly BOX8),,,,,,,,,
EatClub Brands (Formerly BOX8),,,,,,,,,
Tredence,,,,,,,,,
EatClub Brands,,,,,,,,,
Sigmoid Analytics,,* ₹12 LPA ( ₹11 LPA Fixed + ₹1 LPA Variable) + Perks,,* 2026,* B Tech,"* CSE, ECE, EI, EE (*Minor* in these branches are also eligible.) | Eligibility:* | CGPA >= 7.00 | Bond:* 2 Years | Registration Link:* https://forms.gle/qo2Fr9ZgaNoVu6ad7 | Deadline:* 16th August, 1:00 PM",,,
MakeMyTrip,,,,,,,,,
Tredence,,,,,,,,,
Training Committee,,,,,,,,,
Tredence,,,,,,,,,
Tredence,,,,,,,,,
Tredence,,,,,,,,,
Tredence,,,,,,,,,
Tredence,,,,,,,,,
Tredence,,,,,,,,,
Tredence,,,,,,,,,
Futures First,,,,,,,,,
Futures First,,,,,,,,,
Futures First,,,,,,,,,
Tredence,,,,,,,,,
Axxela,,* 14.1 LPA,* 20 KPM + 20K (One time Relocation),* 2026,"* BTech, Dual, Int Msc",* All | Eligibility Criteria:* | CGPA>=5 | 10th & 12th >=50% | No active backlogs,,,"* https://forms.gle/K6ZnxstDsRDtG7ZYA | Deadline:* 11:59 PM, 20th Aug | Note:*"
MOVIN,,* 10 LPA,,* 2026,* B.Tech,* ALL,,,"*  https://forms.gle/7tSQj6MunSFZX4rG6 | Deadline:* 11:59 PM, 21st August 2025 | Note:*"
EatClub Brands (Formerly BOX8),,,,,,,,,
Futures First,,,,,,,,,
FischerJordan,1. Data Analyst | 2. Sr. Data Analyst | 3. Software Engineer Backend | 4. Software Engineer Frontend | 5. Linux Kernel Developer/Embedded Developer,"Data Analyst: 29.6 LPA | Sr Data Analyst: 30.7 LPA | SWE, Linux Kernel Developer: 31.8 LPA",,"* 2026 | Eligible Courses and Branches:* | Data Analyst: | B.Tech: All | Sr. Data Analyst: | Dual, M.Tech, PhD: All | Int M.Sc, M.Sc: PH, MA | Software Engineer: | B.Tech: All | Linux Kernel Developer: | B.Tech, M.Tech: CS, EE | Eligibility:* | CGPA > 7 | Bond:* 3 years (refer to the document below for more details) | Registration Link:* https://acesse.one/ExQVs",,,,,"* https://forms.gle/ddEg9pDSXN6DnVTa9 | Deadline:* 11:59 pm, 21st August 2025 | Note:* | ⁠_Refer to the Job Description below._ | ⁠_Refer thoroughly to the bond detail mentioned in the Job Description._"
Futures First,,,,,,,,,
BlackRock,,,,,,,,,
Intel,,,,* 2026,"Btech, Mtech, Msc., Int. Msc., Dual","Software - CSE, ECE, EIE, EE | Hardware -  CSE, ECE, EIE, EE | Technology Developer - | Mtech/Msc/Int Msc/Dual: ME, MM, CY, PHY, EE | Btech: ME, MM | CTC :* | Btech, Int. Msc. - 11.509 LPA (Base) | Msc., Mtech.  - 15.42 LPA (Base) | Eligibility:* | CGPA>=7.5 | Selection Process :* | 1. Pre Placement Talk | 2. Assessment Test | 3. Technical Interview | 4. HR Round",,,"* https://forms.gle/ZTp7tH1e7gJeMSk59 | Deadline:* 11:59 *PM*, 20th August 2025"
ExxonMobil,,,,,,,,,
Zanskar Tech Pvt Ltd,,* ND,* 75 KPM + Incentives,* 2026,* B.Tech,"* All | Eligibility:* | ⁠CGPA >= 8 | ⁠No active backlogs. | Registration link:* https://forms.gle/WD9m2b9rWfNdKcUu5 | Deadline:* *11:59 PM,* 21st Aug 2025 | Note:*",,,
FischerJordan,,,,,,,,,
JSW TalentTech 2026,,,,* 2026,"* B. Tech, Dual, B. Arch","* ME, MM, MN, EC, EI, EE, CE, CH, CR, CS, ID | Note:* | 1) All the students irrespective of their sector preference must attend the PPT. | 2) Strict actions will be taken in case of failure to do so. | 3) Everyone must follow the dress code as mentioned in the placement policy.",,,
Tredence,,,,,,,,,
Futures First,,,,,,,,,
EatClub Brands,,,,,,,,,
EatClub Brands (Formerly BOX8),,,,,,,,,
Futures First,,,,,,,,,
HackwithInfy - Infosys,,,,,,,,,
MOVIN,,,,,,,,,
JSW,,,,,,,,,
Meesho,,* 23.5 LPA,* 70 KPM,* 2026,"* B.Tech, Dual","* All | Eligibility:* | No active backlogs. | Registration link:* https://forms.gle/f4cQWorJ97UEEXes8 | Deadline:* *11:59 PM,* 22nd Aug 2025 | Note:*",,,
JSW,,,,,,,,,
Cynlr,1) Algo & Machine Learning | 2) Core Engineering | 3) Software Engineering | 4) Robotics | 5) Business Roles,* 8 - 25 LPA (Base) + PF + Insurance + ESOPs,* 30KPM,* 2026,* B.Tech,"1) *Algo & Machine Learning:* All | 2) *Core Engineering:* EC,EI,EE,ME,ID,MM,MN,CE,CH,CR | 3) *Software Engineering:* CS,EC,EI,EE,ME | 4) *Robotics:* All | 5) *Business Roles*: All | Registration Form:* https://forms.gle/7zyEJtrYmgm276pP9 | Deadline:* 3:00PM, 23th August 2025 | Note:*",,,
Myntra,,,,"* 2026, 2027","* B.Tech, Dual Degree, Int MSc",* All | Eligibility Criteria:* | Females only | Registration Link:* https://unstop.com/hackathons/myntra-hackerramp-weforshe-2025-myntra-1513857?ref=olS1kKFA,,,"* https://forms.gle/JAgJcL9EGonbrz716 | Application Deadline:* 11:59PM, 26th August 2025"
Zluri,,,,,,,,,
Meesho,,,,,,,,,
Cynlr,,,,,,,,,
Cynlr,,,,* 2026,* BTech,* All | Note:*,,,
